@relation PowerConsumption-weka.filters.unsupervised.attribute.Remove-R2

@attribute hour numeric
@attribute amps_avg numeric
@attribute kw_avg numeric

@data
21,0.095667,22.003333
21,0.109667,25.223333
21,0.147,33.81
21,0.1575,36.225
21,0.180833,41.591667
21,0.203,46.69
21,0.175,40.25
21,0.165667,38.103333
21,0.112,25.76
21,0.089833,20.661667
21,0.109667,25.223333
21,0.144667,33.273333
21,0.161,37.03
21,0.151667,34.883333
21,0.119,27.37
21,0.095667,22.003333
21,0.096833,22.271667
21,0.081667,18.783333
21,0.207667,47.763333
21,0.145833,33.541667
21,0.142333,32.736667
21,0.170333,39.176667
21,0.184333,42.396667
21,0.151667,34.883333
21,0.148167,34.078333
21,0.158667,36.493333
21,0.201833,46.421667
21,0.1855,42.665
21,0.156333,35.956667
21,0.152833,35.151667
21,0.1295,29.785
21,0.1295,29.785
21,0.106167,24.418333
21,0.123667,28.443333
21,0.130667,30.053333
21,0.133,30.59
21,0.177333,40.786667
21,0.176167,40.518333
21,0.159833,36.761667
21,0.158667,36.493333
21,0.14,32.2
21,0.147,33.81
21,0.1645,37.835
21,0.162167,37.298333
21,0.151667,34.883333
21,0.154,35.42
21,0.158667,36.493333
21,0.14,32.2
21,0.147,33.81
21,0.120167,27.638333
21,0.096833,22.271667
22,0.106167,24.418333
22,0.113167,26.028333
22,0.14,32.2
22,0.163333,37.566667
22,0.1785,41.055
22,0.180833,41.591667
22,0.187833,43.201667
22,0.159833,36.761667
22,0.147,33.81
22,0.112,25.76
22,0.110833,25.491667
22,0.148167,34.078333
22,0.168,38.64
22,0.168,38.64
22,0.1505,34.615
22,0.124833,28.711667
22,0.0735,16.905
22,0.065333,15.026667
22,0.0805,18.515
22,0.128333,29.516667
22,0.173833,39.981667
22,0.1925,44.275
22,0.208833,48.031667
22,0.186667,42.933333
22,0.133,30.59
22,0.089833,20.661667
22,0.099167,22.808333
22,0.106167,24.418333
22,0.105,24.15
22,0.152833,35.151667
22,0.147,33.81
22,0.120167,27.638333
22,0.120167,27.638333
22,0.126,28.98
22,0.109667,25.223333
22,0.110833,25.491667
22,0.1435,33.005
22,0.1715,39.445
22,0.191333,44.006667
22,0.169167,38.908333
22,0.161,37.03
22,0.165667,38.103333
22,0.131833,30.321667
22,0.117833,27.101667
22,0.103833,23.881667
22,0.086333,19.856667
22,0.112,25.76
22,0.124833,28.711667
22,0.149333,34.346667
22,0.142333,32.736667
22,0.152833,35.151667
22,0.155167,35.688333
22,0.149333,34.346667
22,0.138833,31.931667
22,0.107333,24.686667
22,0.141167,32.468333
22,0.148167,34.078333
22,0.158667,36.493333
22,0.166833,38.371667
22,0.121333,27.906667
23,0.095667,22.003333
23,0.105,24.15
23,0.106167,24.418333
23,0.105,24.15
23,0.124833,28.711667
23,0.148167,34.078333
23,0.159833,36.761667
23,0.179667,41.323333
23,0.1435,33.005
23,0.134167,30.858333
23,0.127167,29.248333
23,0.1225,28.175
23,0.1435,33.005
23,0.127167,29.248333
23,0.121333,27.906667
23,0.112,25.76
23,0.121333,27.906667
23,0.110833,25.491667
23,0.107333,24.686667
23,0.119,27.37
23,0.138833,31.931667
23,0.151667,34.883333
23,0.163333,37.566667
23,0.152833,35.151667
23,0.1575,36.225
23,0.1295,29.785
23,0.128333,29.516667
23,0.105,24.15
23,0.105,24.15
23,0.149333,34.346667
23,0.159833,36.761667
23,0.147,33.81
23,0.141167,32.468333
23,0.124833,28.711667
23,0.102667,23.613333
23,0.114333,26.296667
23,0.134167,30.858333
23,0.1155,26.565
23,0.180833,41.591667
23,0.193667,44.543333
23,0.154,35.42
23,0.147,33.81
23,0.113167,26.028333
23,0.126,28.98
23,0.135333,31.126667
23,0.1365,31.395
23,0.161,37.03
23,0.166833,38.371667
23,0.191333,44.006667
23,0.190167,43.738333
23,0.176167,40.518333
23,0.092167,21.198333
23,0.092167,21.198333
23,0.107333,24.686667
23,0.114333,26.296667
23,0.162167,37.298333
23,0.175,40.25
23,0.191333,44.006667
