hour;minute;amps_avg;kw_avg
16;36;0.075833;17.441667
16;37;0.058333;13.416667
16;38;0.065333;15.026667
16;39;0.0875;20.125
16;40;0.1225;28.175
16;41;0.148167;34.078333
16;42;0.133;30.59
16;43;0.121333;27.906667
16;44;0.079333;18.246667
16;45;0.088667;20.393333
16;46;0.098;22.54
16;47;0.135333;31.126667
16;48;0.1645;37.835
16;49;0.182;41.86
16;50;0.144667;33.273333
16;51;0.116667;26.833333
16;52;0.117833;27.101667
16;53;0.075833;17.441667
16;54;0.096833;22.271667
16;55;0.100333;23.076667
16;56;0.1015;23.345
16;57;0.128333;29.516667
16;58;0.144667;33.273333
16;59;0.144667;33.273333
17;0;0.159833;36.761667
17;1;0.159833;36.761667
17;2;0.1855;42.665
17;3;0.133;30.59
17;4;0.128333;29.516667
17;5;0.145833;33.541667
17;6;0.137667;31.663333
17;7;0.1505;34.615
